"directory path","file name","file extension","last modified","size (bytes)","md5","file format","format version","format registry key/PUID","Identified By","MIME Type","ID Warning"
"TIF600/","PC6387_001.tif","tif","2013-07-20T10:29:30.445","20009616","ea5486ebbd6810260c593c9e542677d9","TIFF EXIF","","","Exiftool v10.37","image/tiff",""
"TIF600/","PC6387_002.tif","tif","2013-07-20T10:26:10.920","19934424","98c468e6d5a6ac9401c71811359303d8","TIFF EXIF","","","Exiftool v10.37","image/tiff",""
"TIF600/","PC6853_001.tif","tif","2013-07-20T10:34:13.004","19703859","00dd2f4a813ff39eb8c81609a753291d","TIFF EXIF","","","Exiftool v10.37","image/tiff",""
"TIF600/","PC6853_002.tif","tif","2013-07-20T10:34:50.586","19703859","c69280e86e5aa618a89f322ce4d35790","TIFF EXIF","","","Exiftool v10.37","image/tiff",""
"TIF600/","PC7525_001.tif","tif","2013-07-20T14:13:44.754","19379448","068a057a9e1ccc80bdbfdf733ef1254b","TIFF EXIF","","","Exiftool v10.37","image/tiff",""
"TIF600/","PC7583_001.tif","tif","2013-07-26T14:08:39.855","19759884","ed5ffda2523cccd857cd6cf347ecaa3c","TIFF EXIF","","","Exiftool v10.37","image/tiff",""
"TIF600/","PC7583_002.tif","tif","2013-07-26T14:08:17.437","19693340","5924b159c065aef35a8936b302577a79","TIFF EXIF","","","Exiftool v10.37","image/tiff",""
"TIF600/","PPL_PC_001_4684A.tif","tif","2014-12-24T10:16:08.000","20966304","bc22df60c67fc3191f9fd57459a83b28","TIFF EXIF","8.7.1","","Exiftool v10.37","image/tiff",""
"TIF600/","PPL_PC_001_4684B.tif","tif","2014-12-23T16:56:49.000","20683176","b3646acc525273b749c7e9b79fd0a402","TIFF EXIF","8.7.1","","Exiftool v10.37","image/tiff",""
"TIF600/","PPL_PC_001_6386A.tif","tif","2014-12-23T16:56:52.000","21325352","a4d51cf91d7459802f82718d2d15f14d","TIFF EXIF","8.7.1","","Exiftool v10.37","image/tiff",""
"TIF600/","PPL_PC_001_6386B.tif","tif","2014-12-23T16:56:56.000","21314588","5aee75558fc26f6d15b0e60bfe429684","TIFF EXIF","8.7.1","","Exiftool v10.37","image/tiff",""
"TIF600/","PPL_PC_001_6387A.tif","tif","2014-12-23T16:56:59.000","21108490","cf692ca0608937a0d9b2d2a18a88ddf3","TIFF EXIF","8.7.1","","Exiftool v10.37","image/tiff",""
"TIF600/","PPL_PC_001_6387B.tif","tif","2014-12-23T16:57:03.000","21318780","0b3389f59fe0ac40f8ccb8caacfb325a","TIFF EXIF","8.7.1","","Exiftool v10.37","image/tiff",""
"TIF600/","PPL_PC_001_6388A.tif","tif","2014-12-23T16:57:07.000","21187386","36fcc8b1e044a770fbb89b8a73600814","TIFF EXIF","8.7.1","","Exiftool v10.37","image/tiff",""
"TIF600/","PPL_PC_001_6388B.tif","tif","2014-12-23T16:57:10.000","21059796","fba6dec9f39f6302034ab048da9d0829","TIFF EXIF","8.7.1","","Exiftool v10.37","image/tiff",""
"TIF600/","PPL_PC_001_6389A.tif","tif","2014-12-23T16:57:14.000","22784830","795f10517d43ff6f98bee595e7b805e3","TIFF EXIF","8.7.1","","Exiftool v10.37","image/tiff",""
"TIF600/","PPL_PC_001_6389B.tif","tif","2014-12-23T16:57:17.000","22497388","427272ff375766804f974a9d9418055c","TIFF EXIF","8.7.1","","Exiftool v10.37","image/tiff",""
"TIF600/","PPL_PC_001_6390A.tif","tif","2014-12-23T16:57:20.000","20326824","06f45efef93a0952f1eff512459a97d2","TIFF EXIF","8.7.1","","Exiftool v10.37","image/tiff",""
"TIF600/","PPL_PC_001_6390B.tif","tif","2014-12-23T16:57:24.000","20406548","70a266c8368884231d674e8d23a5f645","TIFF EXIF","8.7.1","","Exiftool v10.37","image/tiff",""
"TIF600/","PPL_PC_001_6391A.tif","tif","2014-12-23T16:57:27.000","21517822","92a6f215d180d8461bced322b7709dae","TIFF EXIF","8.7.1","","Exiftool v10.37","image/tiff",""
"TIF600/","PPL_PC_001_6391B.tif","tif","2014-12-23T16:57:30.000","21396322","b844088c9b9c43ea65711b13dfb2c4f5","TIFF EXIF","8.7.1","","Exiftool v10.37","image/tiff",""
"TIF600/","PPL_PC_001_6392A.tif","tif","2014-12-24T10:16:15.000","21179740","8929080f7e2ec6207f51a86a79c62039","TIFF EXIF","8.7.1","","Exiftool v10.37","image/tiff",""
"TIF600/","PPL_PC_001_6392B.tif","tif","2014-12-23T16:57:37.000","21290858","c0f2b5d88bbc00670611838caf9c3595","TIFF EXIF","8.7.1","","Exiftool v10.37","image/tiff",""
"TIF600/","PPL_PC_001_6393A.tif","tif","2014-12-23T16:57:41.000","22168452","87294d6122fcbb327fe7e4b6e78c54bb","TIFF EXIF","8.7.1","","Exiftool v10.37","image/tiff",""
"TIF600/","PPL_PC_001_6393B.tif","tif","2014-12-23T16:57:44.000","22088610","ec905437f94cc44a0561c3b6ddb7ba4c","TIFF EXIF","8.7.1","","Exiftool v10.37","image/tiff",""
"TIF600/","PPL_PC_001_6394A.tif","tif","2014-12-23T16:57:48.000","22040772","1bbdb163c4a6bfb9096ddccabcd03899","TIFF EXIF","8.7.1","","Exiftool v10.37","image/tiff",""
"TIF600/","PPL_PC_001_6394B.tif","tif","2014-12-23T16:57:51.000","21721452","8a47a1560ad4959fb46e5180c0f46652","TIFF EXIF","8.7.1","","Exiftool v10.37","image/tiff",""
"TIF600/","PPL_PC_001_6395A.tif","tif","2014-12-23T16:57:55.000","21002482","29f60f3cd2762d391bff5449a7a410c7","TIFF EXIF","8.7.1","","Exiftool v10.37","image/tiff",""
"TIF600/","PPL_PC_001_6395B.tif","tif","2014-12-23T16:57:58.000","20615636","8560ca0050123d563d747d8c3988c0ff","TIFF EXIF","8.7.1","","Exiftool v10.37","image/tiff",""
"TIF600/","PPL_PC_001_6396A.tif","tif","2014-12-23T16:58:02.000","20570398","0fc302dc60d10944c48f9ef0199f47b6","TIFF EXIF","8.7.1","","Exiftool v10.37","image/tiff",""
"TIF600/","PPL_PC_001_6396B.tif","tif","2014-12-23T16:58:05.000","20750564","477791743c797cdbc75b8d25469973bb","TIFF EXIF","8.7.1","","Exiftool v10.37","image/tiff",""
"TIF600/","PPL_PC_001_6397A.tif","tif","2014-12-23T16:58:09.000","20589910","0aaa63297281b5a64c6baec21080b1cc","TIFF EXIF","8.7.1","","Exiftool v10.37","image/tiff",""
"TIF600/","PPL_PC_001_6397B.tif","tif","2014-12-23T16:58:13.000","20482730","cf68fd5df6e495f5c630203da7239314","TIFF EXIF","8.7.1","","Exiftool v10.37","image/tiff",""
"TIF600/","PPL_PC_001_6398A.tif","tif","2014-12-23T16:58:16.000","20729198","d7bc14ab8e72d76b92a6511faa049880","TIFF EXIF","8.7.1","","Exiftool v10.37","image/tiff",""
"TIF600/","PPL_PC_001_6398B.tif","tif","2014-12-23T16:58:20.000","20703580","27f3d654b72923679f3814c9b95a29b6","TIFF EXIF","8.7.1","","Exiftool v10.37","image/tiff",""
"TIF600/","PPL_PC_001_6399A.tif","tif","2014-12-23T16:58:23.000","20690206","1aca36d6ad2f73bdbb0da816457c709c","TIFF EXIF","8.7.1","","Exiftool v10.37","image/tiff",""
"TIF600/","PPL_PC_001_6399B.tif","tif","2014-12-23T16:58:27.000","20811998","81969928fb42cf596c4540b53c6173c1","TIFF EXIF","8.7.1","","Exiftool v10.37","image/tiff",""
"TIF600/","PPL_PC_001_6400A.tif","tif","2014-12-23T16:58:30.000","20551610","6a2ee6962b98c23b79c9b15fc71411ee","TIFF EXIF","8.7.1","","Exiftool v10.37","image/tiff",""
"TIF600/","PPL_PC_001_6400B.tif","tif","2014-12-23T16:58:36.000","20948830","071afeaddb8e2983199d09fb70161025","TIFF EXIF","8.7.1","","Exiftool v10.37","image/tiff",""
"TIF600/","PPL_PC_001_6401A.tif","tif","2014-12-23T16:58:42.000","21069038","3694e2c27a762aa044b2a932e518965f","TIFF EXIF","8.7.1","","Exiftool v10.37","image/tiff",""
"TIF600/","PPL_PC_001_6401B.tif","tif","2014-12-23T16:58:47.000","21063056","c5ead1ff7894758b379f0a923a8ddb90","TIFF EXIF","8.7.1","","Exiftool v10.37","image/tiff",""
"TIF600/","PPL_PC_001_6402A.tif","tif","2014-12-23T16:58:54.000","21063814","f5d1b1fb50e821eb3b69ae05cc08f25c","TIFF EXIF","8.7.1","","Exiftool v10.37","image/tiff",""
"TIF600/","PPL_PC_001_6402B.tif","tif","2014-12-23T16:58:59.000","21061106","b983a62f212895127ab12b63defc835b","TIFF EXIF","8.7.1","","Exiftool v10.37","image/tiff",""
"TIF600/","PPL_PC_001_6403A.tif","tif","2014-12-23T16:59:06.000","21066454","2fea2f3c372876944734f83121cc72ae","TIFF EXIF","8.7.1","","Exiftool v10.37","image/tiff",""
